precinct_key,district_num,target_id,target_name,area_weight,population_weight,housing_weight,block_weight,crosswalk_basis
16017017001,1,16001,State House District 1,1.0,1.0,1.0,1.0,population
16017017002,1,16001,State House District 1,1.0,1.0,1.0,0.9967543824634564,population
16017017003,1,16001,State House District 1,1.0,1.0,1.0,1.0,population
16017017004,1,16001,State House District 1,0.03257385351231628,0.03257385351231628,0.03573380209713715,0.014726614269193007,population
16017017005,1,16001,State House District 1,1.0,1.0,1.0,0.9923162015620589,population
16017017006,1,16001,State House District 1,0.7718758469533729,0.7718758469533729,0.8202138810508666,0.8470302594503643,population
16017017007,1,16001,State House District 1,1.0,1.0,1.0,1.0,population
16017017009,1,16001,State House District 1,1.0,1.0,1.0,1.0,population
16017017010,1,16001,State House District 1,1.0,1.0,1.0,1.0,population
16017017011,1,16001,State House District 1,0.492330208910409,0.492330208910409,0.5385570366033079,0.5299018859719424,population
16017017012,1,16001,State House District 1,1.0,1.0,1.0,1.0,population
16017017014,1,16001,State House District 1,1.0,1.0,1.0,1.0,population
16017017015,1,16001,State House District 1,1.0,1.0,1.0,1.0,population
16017017016,1,16001,State House District 1,1.0,1.0,1.0,1.0,population
16017017017,1,16001,State House District 1,1.0,1.0,1.0,1.0,population
16017017018,1,16001,State House District 1,1.0,1.0,1.0,1.0,population
16017017020,1,16001,State House District 1,1.0,1.0,1.0,1.0,population
16017017021,1,16001,State House District 1,1.0,1.0,1.0,1.0,population
16017017025,1,16001,State House District 1,0.9517207158502621,0.9517207158502621,0.9625360369359492,0.974027971578451,population
16017017026,1,16001,State House District 1,1.0,1.0,1.0,1.0,population
16017017027,1,16001,State House District 1,1.0,1.0,1.0,1.0,population
16017017028,1,16001,State House District 1,1.0,1.0,1.0,1.0,population
16017017029,1,16001,State House District 1,1.0,1.0,1.0,1.0,population
16017017030,1,16001,State House District 1,1.0,1.0,1.0,1.0,population
16017017031,1,16001,State House District 1,0.01537460755891671,0.01537460755891671,0.01281739787169275,0.0022773397226393613,population
16017017032,1,16001,State House District 1,1.0,1.0,1.0,1.0,population
16017017033,1,16001,State House District 1,1.0,1.0,1.0,1.0,population
16017017034,1,16001,State House District 1,1.0,1.0,1.0,1.0,population
16017017035,1,16001,State House District 1,1.0,1.0,1.0,1.0,population
16017017036,1,16001,State House District 1,1.0,1.0,1.0,1.0,population
16021021001,1,16001,State House District 1,1.0,1.0,1.0,1.0,population
16021021002,1,16001,State House District 1,1.0,1.0,1.0,1.0,population
16021021003,1,16001,State House District 1,1.0,1.0,1.0,1.0,population
16021021004,1,16001,State House District 1,1.0,1.0,1.0,1.0,population
16021021005,1,16001,State House District 1,1.0,1.0,1.0,1.0,population
16021021006,1,16001,State House District 1,1.0,1.0,1.0,1.0,population
16021021007,1,16001,State House District 1,1.0,1.0,1.0,1.0,population
16079079001,1,16001,State House District 1,0.0,0.0,0.0,0.013890216897177479,population
16009009001,2,16002,State House District 2,1.0,1.0,1.0,1.0,population
16009009002,2,16002,State House District 2,1.0,1.0,1.0,1.0,population
16009009003,2,16002,State House District 2,1.0,1.0,1.0,1.0,population
16009009004,2,16002,State House District 2,1.0,1.0,1.0,1.0,population
16009009005,2,16002,State House District 2,1.0,1.0,1.0,1.0,population
16009009006,2,16002,State House District 2,1.0,1.0,1.0,1.0,population
16009009007,2,16002,State House District 2,1.0,1.0,1.0,1.0,population
16009009008,2,16002,State House District 2,1.0,1.0,1.0,1.0,population
16009009009,2,16002,State House District 2,1.0,1.0,1.0,1.0,population
16009009010,2,16002,State House District 2,1.0,1.0,1.0,1.0,population
16009009011,2,16002,State House District 2,0.9999998375741509,0.9999998375741509,0.99999979933114,0.9999999688838874,population
16017017002,2,16002,State House District 2,0.0,0.0,0.0,0.003245617536543725,population
16017017004,2,16002,State House District 2,0.9674261464876837,0.9674261464876837,0.9642661979028628,0.9852733857308069,population
16017017005,2,16002,State House District 2,0.0,0.0,0.0,0.007683798437941094,population
16017017006,2,16002,State House District 2,0.22812415304662703,0.22812415304662703,0.17978611894913357,0.15296974054963577,population
