target,rows,source_vtd20_units,target_units,population_total,housing_total
cd119,938,931,2,1293950.6778,527819.9104
sldl2024,1021,931,35,1293950.6778,527819.9104
sldu2024,1021,931,35,1293950.6778,527819.9104
