target,block_rows,vtd_rows,target_units,source_vtd_units
county2020,92256,1390,44,880
vtd20,107311,5121,931,880
cd119,88879,928,2,880
sldl2024,92259,1446,35,880
sldu2024,92259,1446,35,880
