source_vtd_geoid,source_vtd_code,source_countyfp00,source_vtd_name,precinct_key,target_id,target_name,district_num,SLDLST,nhgis_weight,source_blocks,target_blocks,allocated_pop2000,allocated_housing2000,crosswalk_method,source_block_weight_sum,source_block_weight_avg,source_vtd_pop2000,source_vtd_housing2000,population_weight,housing_weight,block_weight,effective_weight,crosswalk_basis
16001001001,001001,001,Voting District 001001,16001001001,16019,State House District 19,19,019,58.0,58,47,1601.0,934.0,nhgis_block_weight_chain_2000_2010_2020,58.0,1.0,1601.0,934.0,1.0,1.0,1.0,1.0,population
16001001002,001002,001,Voting District 001002,16001001002,16017,State House District 17,17,017,16.0,16,21,1709.0000000128,835.0000000033999,nhgis_block_weight_chain_2000_2010_2020,16.0,1.0,1709.0000000128,835.0000000033999,1.0,1.0,1.0,1.0,population
16001001003,001003,001,Voting District 001003,16001001003,16018,State House District 18,18,018,35.0,35,31,1554.0,771.0,nhgis_block_weight_chain_2000_2010_2020,35.0,1.0,1554.0,771.0,1.0,1.0,1.0,1.0,population
16001001004,001004,001,Voting District 001004,16001001004,16018,State House District 18,18,018,40.0,40,37,1530.0,728.0,nhgis_block_weight_chain_2000_2010_2020,40.0,1.0,1530.0,728.0,1.0,1.0,1.0,1.0,population
16001001005,001005,001,Voting District 001005,16001001005,16019,State House District 19,19,019,156.0,156,151,1585.0,1069.0,nhgis_block_weight_chain_2000_2010_2020,156.0,1.0,1585.0,1069.0,1.0,1.0,1.0,1.0,population
16001001006,001006,001,Voting District 001006,16001001006,16019,State House District 19,19,019,31.9999999999984,32,22,1296.9999999999968,501.9999999999984,nhgis_block_weight_chain_2000_2010_2020,31.9999999999984,0.99999999999995,1296.9999999999968,501.9999999999984,1.0,1.0,1.0,1.0,population
16001001007,001007,001,Voting District 001007,16001001007,16017,State House District 17,17,017,33.0,33,25,1576.0,1020.0,nhgis_block_weight_chain_2000_2010_2020,33.0,1.0,1576.0,1020.0,1.0,1.0,1.0,1.0,population
16001001008,001008,001,Voting District 001008,16001001008,16016,State House District 16,16,016,38.79656078109996,39,41,1822.000000001056,954.0000000019354,nhgis_block_weight_chain_2000_2010_2020,38.79656078109996,0.9947836097717939,1822.000000001056,954.0000000019354,1.0,1.0,0.9947836097717948,1.0,population
16001001008,001008,001,Voting District 001008,16001001008,16017,State House District 17,17,017,0.2034392189,2,3,0.0,0.0,nhgis_block_weight_chain_2000_2010_2020,0.2034392189,0.10171960945,1822.000000001056,954.0000000019354,0.0,0.0,0.005216390228205133,0.0,population
16001001009,001009,001,Voting District 001009,16001001009,16018,State House District 18,18,018,26.999999999899998,27,28,2157.9999999666,801.9999999873,nhgis_block_weight_chain_2000_2010_2020,26.999999999899998,0.9999999999962962,2157.9999999666,801.9999999873,1.0,1.0,1.0,1.0,population
16001001010,001010,001,Voting District 001010,16001001010,16017,State House District 17,17,017,21.0,21,18,1319.0,517.0,nhgis_block_weight_chain_2000_2010_2020,21.0,1.0,1319.0,517.0,1.0,1.0,1.0,1.0,population
16001001011,001011,001,Voting District 001011,16001001011,16019,State House District 19,19,019,58.0,58,56,1161.0,798.0,nhgis_block_weight_chain_2000_2010_2020,58.0,1.0,1161.0,798.0,1.0,1.0,1.0,1.0,population
16001001012,001012,001,Voting District 001012,16001001012,16017,State House District 17,17,017,27.000000000300002,27,11,179.0000000041,67.0000000014,nhgis_block_weight_chain_2000_2010_2020,27.000000000300002,1.0000000000111111,2119.0000000583823,792.0000000232956,0.08447380839979624,0.084595959595239,0.38571428571442967,0.08447380839979624,population
16001001012,001012,001,Voting District 001012,16001001012,16018,State House District 18,18,018,43.00000000045165,43,47,1940.0000000542823,725.0000000218955,nhgis_block_weight_chain_2000_2010_2020,43.00000000045165,1.0000000000105034,2119.0000000583823,792.0000000232956,0.9155261916002038,0.915404040404761,0.6142857142855702,0.9155261916002038,population
16001001013,001013,001,Voting District 001013,16001001013,16017,State House District 17,17,017,34.9999999999,35,37,1533.9999999771,674.9999999882,nhgis_block_weight_chain_2000_2010_2020,34.9999999999,0.9999999999971428,1533.9999999771,674.9999999882,1.0,1.0,1.0,1.0,population
16001001014,001014,001,Voting District 001014,16001001014,16017,State House District 17,17,017,40.9999999999,41,44,3009.9999999903002,1293.9999999955,nhgis_block_weight_chain_2000_2010_2020,40.9999999999,0.999999999997561,3009.9999999903002,1293.9999999955,1.0,1.0,1.0,1.0,population
16001001015,001015,001,Voting District 001015,16001001015,16015,State House District 15,15,015,26.0,26,21,1868.0,792.0,nhgis_block_weight_chain_2000_2010_2020,26.0,1.0,2926.0,1178.0,0.6384142173615858,0.6723259762308998,0.7647058823529411,0.6384142173615858,population
16001001015,001015,001,Voting District 001015,16001001015,16016,State House District 16,16,016,8.0,8,4,1058.0,386.0,nhgis_block_weight_chain_2000_2010_2020,8.0,1.0,2926.0,1178.0,0.36158578263841423,0.32767402376910015,0.23529411764705882,0.36158578263841423,population
16001001016,001016,001,Voting District 001016,16001001016,16015,State House District 15,15,015,48.0,48,44,4448.0,1652.0,nhgis_block_weight_chain_2000_2010_2020,48.0,1.0,4448.0,1652.0,1.0,1.0,1.0,1.0,population
16001001017,001017,001,Voting District 001017,16001001017,16015,State House District 15,15,015,20.0,20,16,1007.0,367.0,nhgis_block_weight_chain_2000_2010_2020,20.0,1.0,2467.0000000084,1105.0000000037999,0.4081880826901383,0.3321266968314371,0.45454545454442147,0.4081880826901383,population
16001001017,001017,001,Voting District 001017,16001001017,16016,State House District 16,16,016,24.000000000100002,24,20,1460.0000000084,738.0000000038,nhgis_block_weight_chain_2000_2010_2020,24.000000000100002,1.0000000000041667,2467.0000000084,1105.0000000037999,0.5918119173098617,0.6678733031685631,0.5454545454555785,0.5918119173098617,population
16001001018,001018,001,Voting District 001018,16001001018,16019,State House District 19,19,019,51.0,51,53,1716.0,816.0,nhgis_block_weight_chain_2000_2010_2020,51.0,1.0,1716.0,816.0,1.0,1.0,1.0,1.0,population
16001001019,001019,001,Voting District 001019,16001001019,16019,State House District 19,19,019,41.0,41,41,1261.0,720.0,nhgis_block_weight_chain_2000_2010_2020,41.0,1.0,1261.0,720.0,1.0,1.0,1.0,1.0,population
16001001020,001020,001,Voting District 001020,16001001020,16016,State House District 16,16,016,47.0000000001,47,39,3449.0000000186,1592.0000000072,nhgis_block_weight_chain_2000_2010_2020,47.0000000001,1.0000000000021276,3449.0000000186,1592.0000000072,1.0,1.0,1.0,1.0,population
16001001021,001021,001,Voting District 001021,16001001021,16019,State House District 19,19,019,50.0,50,50,1407.0,775.0,nhgis_block_weight_chain_2000_2010_2020,50.0,1.0,1407.0,775.0,1.0,1.0,1.0,1.0,population
16001001022,001022,001,Voting District 001022,16001001022,16019,State House District 19,19,019,48.0,48,52,1361.0,638.0,nhgis_block_weight_chain_2000_2010_2020,48.0,1.0,1361.0,638.0,1.0,1.0,1.0,1.0,population
16001001023,001023,001,Voting District 001023,16001001023,16017,State House District 17,17,017,0.0351411503,1,1,0.0,0.0,nhgis_block_weight_chain_2000_2010_2020,0.0351411503,0.0351411503,1296.0,687.0,0.0,0.0,0.0005092920333333333,0.0,population
16001001023,001023,001,Voting District 001023,16001001023,16019,State House District 19,19,019,68.9648588497,69,65,1296.0,687.0,nhgis_block_weight_chain_2000_2010_2020,68.9648588497,0.9994907079666666,1296.0,687.0,1.0,1.0,0.9994907079666666,1.0,population
16001001024,001024,001,Voting District 001024,16001001024,16019,State House District 19,19,019,58.00000000005116,58,57,1875.0000000162602,891.000000007744,nhgis_block_weight_chain_2000_2010_2020,58.00000000005116,1.000000000000882,1875.0000000162602,891.000000007744,1.0,1.0,1.0,1.0,population
16001001025,001025,001,Voting District 001025,16001001025,16019,State House District 19,19,019,21.0,21,18,1933.0,886.0,nhgis_block_weight_chain_2000_2010_2020,21.0,1.0,1933.0,886.0,1.0,1.0,1.0,1.0,population
16001001026,001026,001,Voting District 001026,16001001026,16018,State House District 18,18,018,31.000000000100002,31,38,2001.0000000337,1245.0000000206,nhgis_block_weight_chain_2000_2010_2020,31.000000000100002,1.0000000000032259,2001.0000000337,1245.0000000206,1.0,1.0,1.0,1.0,population
16001001027,001027,001,Voting District 001027,16001001027,16018,State House District 18,18,018,28.0,28,32,2804.0,1080.0,nhgis_block_weight_chain_2000_2010_2020,28.0,1.0,2804.0,1080.0,1.0,1.0,1.0,1.0,population
16001001028,001028,001,Voting District 001028,16001001028,16016,State House District 16,16,016,52.0,52,51,1084.0,536.0,nhgis_block_weight_chain_2000_2010_2020,52.0,1.0,1084.0,536.0,1.0,1.0,1.0,1.0,population
16001001029,001029,001,Voting District 001029,16001001029,16010,State House District 10,10,010,11.497620974666466,13,16,110.60867745359646,42.97486630088805,nhgis_block_weight_chain_2000_2010_2020,11.497620974666466,0.8844323826666513,1784.9999999394418,632.999999979685,0.06196564563436918,0.06789078404781557,0.17688647653478828,0.06196564563436918,population
16001001029,001029,001,Voting District 001029,16001001029,16014,State House District 14,14,014,24.502379025217202,26,87,904.3913225124803,310.0251336885379,nhgis_block_weight_chain_2000_2010_2020,24.502379025217202,0.9423991932775847,1784.9999999394418,632.999999979685,0.5066618053463098,0.48977114328355076,0.37695967731414104,0.5066618053463098,population
16001001029,001029,001,Voting District 001029,16001001029,16020,State House District 20,20,020,28.99999999958056,29,358,769.9999999733651,279.999999990259,nhgis_block_weight_chain_2000_2010_2020,28.99999999958056,0.9999999999855366,1784.9999999394418,632.999999979685,0.43137254901932115,0.44233807266863373,0.44615384615107073,0.43137254901932115,population
16001001030,001030,001,Voting District 001030,16001001030,16019,State House District 19,19,019,16.0,16,21,1249.0,514.0,nhgis_block_weight_chain_2000_2010_2020,16.0,1.0,1249.0,514.0,1.0,1.0,1.0,1.0,population
16001001031,001031,001,Voting District 001031,16001001031,16019,State House District 19,19,019,71.0,71,71,1831.0,893.0,nhgis_block_weight_chain_2000_2010_2020,71.0,1.0,1831.0,893.0,1.0,1.0,1.0,1.0,population
16001001032,001032,001,Voting District 001032,16001001032,16016,State House District 16,16,016,37.1293916024,38,38,1602.0325621256,743.9211653816,nhgis_block_weight_chain_2000_2010_2020,37.1293916024,0.9770892526947368,2552.000000062597,1281.0000000356079,0.627755706146671,0.5807347114449034,0.7280272863203259,0.627755706146671,population
16001001032,001032,001,Voting District 001032,16001001032,16019,State House District 19,19,019,13.87060839768706,14,18,949.9674379369967,537.0788346540079,nhgis_block_weight_chain_2000_2010_2020,13.87060839768706,0.990757742691933,2552.000000062597,1281.0000000356079,0.3722442938533289,0.4192652885550966,0.2719727136796742,0.3722442938533289,population
16001001033,001033,001,Voting District 001033,16001001033,16018,State House District 18,18,018,47.0,47,43,1507.0,678.0,nhgis_block_weight_chain_2000_2010_2020,47.0,1.0,1507.0,678.0,1.0,1.0,1.0,1.0,population
16001001034,001034,001,Voting District 001034,16001001034,16016,State House District 16,16,016,32.0,32,29,1820.0,739.0,nhgis_block_weight_chain_2000_2010_2020,32.0,1.0,1820.0,739.0,1.0,1.0,1.0,1.0,population
16001001035,001035,001,Voting District 001035,16001001035,16017,State House District 17,17,017,6.0,6,7,405.0,210.0,nhgis_block_weight_chain_2000_2010_2020,6.0,1.0,1850.9999999664,913.9999999866,0.21880064830218893,0.2297592997845501,0.20689655172413793,0.21880064830218893,population
16001001035,001035,001,Voting District 001035,16001001035,16018,State House District 18,18,018,23.0,23,29,1445.9999999664,703.9999999866,nhgis_block_weight_chain_2000_2010_2020,23.0,1.0,1850.9999999664,913.9999999866,0.7811993516978111,0.7702407002154499,0.7931034482758621,0.7811993516978111,population
16001001036,001036,001,Voting District 001036,16001001036,16015,State House District 15,15,015,10.0742027101,12,12,471.5501837506,183.2617491608,nhgis_block_weight_chain_2000_2010_2020,10.0742027101,0.8395168925083333,1921.9999999989,762.0000000001,0.2453434879036784,0.2405009831506246,0.2722757489223575,0.2453434879036784,population
16001001036,001036,001,Voting District 001036,16001001036,16017,State House District 17,17,017,26.9257972898,27,19,1450.4498162483,578.7382508393,nhgis_block_weight_chain_2000_2010_2020,26.9257972898,0.997251751474074,1921.9999999989,762.0000000001,0.7546565120963217,0.7594990168493754,0.7277242510776425,0.7546565120963217,population
16001001037,001037,001,Voting District 001037,16001001037,16017,State House District 17,17,017,37.0,37,37,1184.0,554.0,nhgis_block_weight_chain_2000_2010_2020,37.0,1.0,1383.0,657.0,0.8561099060014461,0.8432267884322678,0.74,0.8561099060014461,population
16001001037,001037,001,Voting District 001037,16001001037,16018,State House District 18,18,018,13.0,13,8,199.0,103.0,nhgis_block_weight_chain_2000_2010_2020,13.0,1.0,1383.0,657.0,0.14389009399855388,0.1567732115677321,0.26,0.14389009399855388,population
16001001038,001038,001,Voting District 001038,16001001038,16016,State House District 16,16,016,148.00000000023442,148,108,4649.000000031369,1988.0000000212344,nhgis_block_weight_chain_2000_2010_2020,148.00000000023442,1.0000000000015838,4649.000000031369,1988.0000000212344,1.0,1.0,1.0,1.0,population
16001001039,001039,001,Voting District 001039,16001001039,16017,State House District 17,17,017,42.0,42,43,2996.0,1367.0,nhgis_block_weight_chain_2000_2010_2020,42.0,1.0,2996.0,1367.0,1.0,1.0,1.0,1.0,population
16001001040,001040,001,Voting District 001040,16001001040,16017,State House District 17,17,017,31.0,31,21,1624.0,748.0,nhgis_block_weight_chain_2000_2010_2020,31.0,1.0,1624.0,748.0,1.0,1.0,1.0,1.0,population
16001001041,001041,001,Voting District 001041,16001001041,16019,State House District 19,19,019,33.0,33,33,858.0,444.0,nhgis_block_weight_chain_2000_2010_2020,33.0,1.0,858.0,444.0,1.0,1.0,1.0,1.0,population
16001001042,001042,001,Voting District 001042,16001001042,16019,State House District 19,19,019,21.999999999117385,22,18,1330.9999999200425,518.9999999678322,nhgis_block_weight_chain_2000_2010_2020,21.999999999117385,0.9999999999598811,1330.9999999200425,518.9999999678322,1.0,1.0,1.0,1.0,population
16001001043,001043,001,Voting District 001043,16001001043,16017,State House District 17,17,017,20.0,20,11,1723.0,766.0,nhgis_block_weight_chain_2000_2010_2020,20.0,1.0,1723.0,766.0,1.0,1.0,1.0,1.0,population
16001001044,001044,001,Voting District 001044,16001001044,16017,State House District 17,17,017,30.0,30,28,1701.0,712.0,nhgis_block_weight_chain_2000_2010_2020,30.0,1.0,1701.0,712.0,1.0,1.0,1.0,1.0,population
16001001045,001045,001,Voting District 001045,16001001045,16017,State House District 17,17,017,35.0,35,33,1691.0,733.0,nhgis_block_weight_chain_2000_2010_2020,35.0,1.0,1691.0,733.0,1.0,1.0,1.0,1.0,population
16001001046,001046,001,Voting District 001046,16001001046,16022,State House District 22,22,022,17.0000000003,17,30,745.0000000254,262.0000000088,nhgis_block_weight_chain_2000_2010_2020,17.0000000003,1.000000000017647,745.0000000254,262.0000000088,1.0,1.0,1.0,1.0,population
16001001047,001047,001,Voting District 001047,16001001047,16020,State House District 20,20,020,44.00000000009466,44,60,2205.9999999912966,758.9999999983918,nhgis_block_weight_chain_2000_2010_2020,44.00000000009466,1.0000000000021514,2205.9999999912966,758.9999999983918,1.0,1.0,1.0,1.0,population
16001001048,001048,001,Voting District 001048,16001001048,16016,State House District 16,16,016,7.3653370568,9,5,0.0,0.0,nhgis_block_weight_chain_2000_2010_2020,7.3653370568,0.8183707840888889,1450.0,648.0,0.0,0.0,0.0956537280103896,0.0,population
16001001048,001048,001,Voting District 001048,16001001048,16017,State House District 17,17,017,68.9974177215,69,61,1450.0,648.0,nhgis_block_weight_chain_2000_2010_2020,68.9974177215,0.999962575673913,1450.0,648.0,1.0,1.0,0.8960703600194805,1.0,population
16001001048,001048,001,Voting District 001048,16001001048,16019,State House District 19,19,019,0.6372452217,2,1,0.0,0.0,nhgis_block_weight_chain_2000_2010_2020,0.6372452217,0.31862261085,1450.0,648.0,0.0,0.0,0.00827591197012987,0.0,population
16001001049,001049,001,Voting District 001049,16001001049,16016,State House District 16,16,016,35.0,35,34,1704.0,701.0,nhgis_block_weight_chain_2000_2010_2020,35.0,1.0,1704.0,701.0,1.0,1.0,1.0,1.0,population
16001001050,001050,001,Voting District 001050,16001001050,16016,State House District 16,16,016,26.000000000100002,26,20,2432.0000000394,946.0000000150001,nhgis_block_weight_chain_2000_2010_2020,26.000000000100002,1.0000000000038463,2432.0000000394,946.0000000150001,1.0,1.0,1.0,1.0,population
16001001051,001051,001,Voting District 001051,16001001051,16017,State House District 17,17,017,30.0,30,25,1536.0,716.0,nhgis_block_weight_chain_2000_2010_2020,30.0,1.0,1536.0,716.0,1.0,1.0,1.0,1.0,population
16001001052,001052,001,Voting District 001052,16001001052,16010,State House District 10,10,010,0.010708161796067504,1,3,0.33195301567809266,0.13920610334887756,nhgis_block_weight_chain_2000_2010_2020,0.010708161796067504,0.010708161796067504,2991.000000002026,972.0000000025638,0.00011098395709724768,0.00014321615570834402,0.00016224487569727237,0.00011098395709724768,population
16001001052,001052,001,Voting District 001052,16001001052,16014,State House District 14,14,014,65.98929183849687,66,219,2990.6680469863477,971.8607938992149,nhgis_block_weight_chain_2000_2010_2020,65.98929183849687,0.9998377551287404,2991.000000002026,972.0000000025638,0.9998890160429027,0.9998567838442917,0.9998377551243026,0.9998890160429027,population
16001001053,001053,001,Voting District 001053,16001001053,16017,State House District 17,17,017,40.9999999999,41,25,2587.9999999807,1168.9999999926,nhgis_block_weight_chain_2000_2010_2020,40.9999999999,0.999999999997561,2587.9999999807,1168.9999999926,1.0,1.0,1.0,1.0,population
