source_vtd_geoid,source_vtd_code,source_vtd_name,source_vtd_area_m2,precinct_key,target_id,target_name,COUNTYFP,intersection_area_m2,source_blocks,area_weight,source_area_share_pct
16001001001,001001,Voting District 001001,1178820.038666604,16001001001,16001,Ada,001,1178820.0386656118,58,0.9999999999991582,99.99999999991583
16001001002,001002,Voting District 001002,1356723.7502476256,16001001002,16001,Ada,001,1356723.750248007,16,1.000000000000281,100.00000000002811
16001001003,001003,Voting District 001003,993420.0719199812,16001001003,16001,Ada,001,993420.0719205246,35,1.0000000000005471,100.00000000005471
16001001004,001004,Voting District 001004,632918.7894676166,16001001004,16001,Ada,001,632918.7894674614,40,0.9999999999997549,99.99999999997549
16001001005,001005,Voting District 001005,2682799.0108067077,16001001005,16001,Ada,001,2682799.0108071147,156,1.0000000000001517,100.00000000001516
16001001006,001006,Voting District 001006,32566870.88173699,16001001006,16001,Ada,001,32539669.02693887,32,0.9991647384577751,99.9164738457775
16001001006,001006,Voting District 001006,32566870.88173699,16001001006,16015,Boise,015,27201.854798701235,3,0.0008352615422427835,0.08352615422427835
16001001007,001007,Voting District 001007,1379408.2529024966,16001001007,16001,Ada,001,1379408.252901936,33,0.9999999999995935,99.99999999995936
16001001008,001008,Voting District 001008,1271100.649601516,16001001008,16001,Ada,001,1271100.6496013026,39,0.999999999999832,99.9999999999832
16001001009,001009,Voting District 001009,1241507.146231983,16001001009,16001,Ada,001,1241507.1462307826,27,0.999999999999033,99.9999999999033
16001001010,001010,Voting District 001010,1021883.2040214596,16001001010,16001,Ada,001,1021883.2040212484,21,0.9999999999997934,99.99999999997934
16001001011,001011,Voting District 001011,683541.3240309168,16001001011,16001,Ada,001,683541.3240303478,58,0.9999999999991676,99.99999999991675
16001001012,001012,Voting District 001012,17303335.520242903,16001001012,16001,Ada,001,17303335.520242307,70,0.9999999999999656,99.99999999999656
16001001013,001013,Voting District 001013,714639.8706646541,16001001013,16001,Ada,001,714639.8706644798,35,0.9999999999997561,99.99999999997561
16001001014,001014,Voting District 001014,997042.776351764,16001001014,16001,Ada,001,997042.7763518308,41,1.000000000000067,100.00000000000671
16001001015,001015,Voting District 001015,1793804.9595804922,16001001015,16001,Ada,001,1793804.959579683,34,0.9999999999995488,99.99999999995488
16001001016,001016,Voting District 001016,3676517.275202169,16001001016,16001,Ada,001,3676517.275203178,48,1.0000000000002744,100.00000000002744
16001001017,001017,Voting District 001017,2480770.66656564,16001001017,16001,Ada,001,2480770.666563812,44,0.9999999999992633,99.99999999992633
16001001018,001018,Voting District 001018,800244.411733974,16001001018,16001,Ada,001,800244.4117339477,51,0.9999999999999671,99.99999999999672
16001001019,001019,Voting District 001019,400674.8312773585,16001001019,16001,Ada,001,400674.831277193,41,0.9999999999995869,99.99999999995869
16001001020,001020,Voting District 001020,2582843.762359653,16001001020,16001,Ada,001,2582843.7623598324,47,1.0000000000000695,100.00000000000695
16001001021,001021,Voting District 001021,496897.3725124216,16001001021,16001,Ada,001,496897.372512632,50,1.0000000000004234,100.00000000004235
16001001022,001022,Voting District 001022,604721.0639164562,16001001022,16001,Ada,001,604721.0639163597,48,0.9999999999998405,99.99999999998404
16001001023,001023,Voting District 001023,1075099.1722664163,16001001023,16001,Ada,001,1075099.1722666277,69,1.0000000000001967,100.00000000001967
16001001024,001024,Voting District 001024,1018095.5825505424,16001001024,16001,Ada,001,1018095.5825502946,58,0.9999999999997565,99.99999999997566
16001001025,001025,Voting District 001025,2333586.3980743224,16001001025,16001,Ada,001,2333586.3980750893,21,1.0000000000003286,100.00000000003286
16001001026,001026,Voting District 001026,1296983.1254100243,16001001026,16001,Ada,001,1296983.1254099528,31,0.9999999999999449,99.99999999999449
16001001027,001027,Voting District 001027,1273299.1249209389,16001001027,16001,Ada,001,1273299.124922271,28,1.000000000001046,100.0000000001046
16001001028,001028,Voting District 001028,686524.5345482352,16001001028,16001,Ada,001,686524.5345479036,52,0.9999999999995169,99.9999999999517
16001001029,001029,Voting District 001029,54962738.28197838,16001001029,16001,Ada,001,54962734.28005793,65,0.9999999271884812,99.99999271884812
16001001029,001029,Voting District 001029,54962738.28197838,16001001029,16027,Canyon,027,4.001923143610746,5,7.281156777669006e-08,7.281156777669006e-06
16001001030,001030,Voting District 001030,30801102.035728466,16001001030,16001,Ada,001,30772126.832880717,16,0.9990592803200957,99.90592803200957
16001001030,001030,Voting District 001030,30801102.035728466,16001001030,16015,Boise,015,28975.202848383087,5,0.0009407196799248486,0.09407196799248486
16001001031,001031,Voting District 001031,740314.4953663142,16001001031,16001,Ada,001,740314.4953664269,71,1.0000000000001523,100.00000000001523
16001001032,001032,Voting District 001032,1620869.4844669066,16001001032,16001,Ada,001,1620869.484467004,51,1.00000000000006,100.000000000006
16001001033,001033,Voting District 001033,985684.326716183,16001001033,16001,Ada,001,985684.3267168769,47,1.000000000000704,100.00000000007041
16001001034,001034,Voting District 001034,838369.2683992027,16001001034,16001,Ada,001,838369.2683998271,32,1.0000000000007447,100.00000000007448
16001001035,001035,Voting District 001035,2557489.705451923,16001001035,16001,Ada,001,2557489.7054523663,29,1.0000000000001734,100.00000000001734
16001001036,001036,Voting District 001036,1953252.3070419997,16001001036,16001,Ada,001,1953252.3070423477,37,1.0000000000001783,100.00000000001783
16001001037,001037,Voting District 001037,1070910.0071285286,16001001037,16001,Ada,001,1070910.0071276454,50,0.9999999999991753,99.99999999991753
16001001038,001038,Voting District 001038,5987700.646111984,16001001038,16001,Ada,001,5987700.646111004,148,0.9999999999998364,99.99999999998363
16001001039,001039,Voting District 001039,1714957.4972370635,16001001039,16001,Ada,001,1714957.4972367985,42,0.9999999999998455,99.99999999998454
16001001040,001040,Voting District 001040,959518.8694848968,16001001040,16001,Ada,001,959518.8694844891,31,0.9999999999995751,99.99999999995751
16001001041,001041,Voting District 001041,350507.2300008568,16001001041,16001,Ada,001,350507.23000058497,33,0.9999999999992245,99.99999999992245
16001001042,001042,Voting District 001042,11533674.553702597,16001001042,16001,Ada,001,11533674.553702172,22,0.9999999999999631,99.99999999999632
16001001043,001043,Voting District 001043,803770.5729143481,16001001043,16001,Ada,001,803770.5729141118,20,0.999999999999706,99.9999999999706
16001001044,001044,Voting District 001044,975966.8068046612,16001001044,16001,Ada,001,975966.8068045476,30,0.9999999999998835,99.99999999998835
16001001045,001045,Voting District 001045,972046.9061598438,16001001045,16001,Ada,001,972046.9061603231,35,1.0000000000004932,100.00000000004931
16001001046,001046,Voting District 001046,2630239.1107798447,16001001046,16001,Ada,001,2630239.1107788505,17,0.999999999999622,99.9999999999622
16001001047,001047,Voting District 001047,2584778.194076557,16001001047,16001,Ada,001,2584778.1940768575,44,1.0000000000001161,100.00000000001161
16001001048,001048,Voting District 001048,1377405.832299223,16001001048,16001,Ada,001,1377405.8322995398,77,1.00000000000023,100.00000000002301
16001001049,001049,Voting District 001049,836735.1309911001,16001001049,16001,Ada,001,836735.1309908977,35,0.9999999999997581,99.99999999997581
16001001050,001050,Voting District 001050,1615989.0883663609,16001001050,16001,Ada,001,1615989.0883662954,26,0.9999999999999595,99.99999999999595
16001001051,001051,Voting District 001051,821255.5748717703,16001001051,16001,Ada,001,821255.5748719367,30,1.0000000000002025,100.00000000002025
16001001052,001052,Voting District 001052,100177337.1349186,16001001052,16001,Ada,001,100127851.01586775,66,0.9995060148286413,99.95060148286413
16001001052,001052,Voting District 001052,100177337.1349186,16001001052,16045,Gem,045,49486.11905244224,1,0.000493985171374584,0.049398517137458395
16001001053,001053,Voting District 001053,1449241.2032925647,16001001053,16001,Ada,001,1449241.203293196,41,1.0000000000004357,100.00000000004357
16001001054,001054,Voting District 001054,855979.6017401739,16001001054,16001,Ada,001,855979.6017414728,19,1.0000000000015175,100.00000000015174
16001001055,001055,Voting District 001055,576640.962414825,16001001055,16001,Ada,001,576640.9624152825,20,1.0000000000007934,100.00000000007934
