source_vtd_geoid,source_vtd_code,source_vtd_name,source_vtd_area_m2,precinct_key,target_id,target_name,COUNTYFP20,prec_id,intersection_area_m2,source_blocks,area_weight,source_area_share_pct
16001001001,001001,Voting District 001001,1178820.038666604,16001001001,16001011910,ADA - 011910,001,011910,16588.168129266076,2,0.014071840980943462,1.4071840980943462
16001001001,001001,Voting District 001001,1178820.038666604,16001001001,16001011916,ADA - 011916,001,011916,329561.90164124686,22,0.2795693072998856,27.95693072998856
16001001001,001001,Voting District 001001,1178820.038666604,16001001001,16001011917,ADA - 011917,001,011917,240770.1783885241,19,0.20424676412937967,20.424676412937966
16001001001,001001,Voting District 001001,1178820.038666604,16001001001,16001011918,ADA - 011918,001,011918,591899.7905065834,26,0.5021120875889569,50.21120875889569
16001001002,001002,Voting District 001002,1356723.7502476256,16001001002,16001011702,ADA - 011702,001,011702,2.2644164935400456e-07,1,1.6690328396821758e-13,1.6690328396821757e-11
16001001002,001002,Voting District 001002,1356723.7502476256,16001001002,16001011703,ADA - 011703,001,011703,1356723.7502476824,16,1.000000000000042,100.00000000000419
16001001002,001002,Voting District 001002,1356723.7502476256,16001001002,16001011712,ADA - 011712,001,011712,9.80759950682821e-08,1,7.228884660593693e-14,7.228884660593693e-12
16001001003,001003,Voting District 001003,993420.0719199812,16001001003,16001011805,ADA - 011805,001,011805,980481.7610826346,35,0.9869759921275391,98.6975992127539
16001001003,001003,Voting District 001003,993420.0719199812,16001001003,16001011806,ADA - 011806,001,011806,174.63158896657313,2,0.00017578826309505,0.017578826309505
16001001003,001003,Voting District 001003,993420.0719199812,16001001003,16001011808,ADA - 011808,001,011808,12682.269988585584,4,0.012766271134500618,1.2766271134500617
16001001003,001003,Voting District 001003,993420.0719199812,16001001003,16001011809,ADA - 011809,001,011809,81.40913308469919,2,8.194834731631696e-05,0.008194834731631696
16001001003,001003,Voting District 001003,993420.0719199812,16001001003,16001011813,ADA - 011813,001,011813,0.00012724606561196223,1,1.2808888123836072e-10,1.2808888123836071e-08
16001001004,001004,Voting District 001004,632918.7894676166,16001001004,16001011709,ADA - 011709,001,011709,3.4314094781156147e-08,1,5.421563611663299e-14,5.4215636116632986e-12
16001001004,001004,Voting District 001004,632918.7894676166,16001001004,16001011710,ADA - 011710,001,011710,1380.304322193015,2,0.0021808553406260324,0.21808553406260323
16001001004,001004,Voting District 001004,632918.7894676166,16001001004,16001011711,ADA - 011711,001,011711,631427.6873951692,40,0.9976440862599424,99.76440862599424
16001001004,001004,Voting District 001004,632918.7894676166,16001001004,16001011805,ADA - 011805,001,011805,110.79775000173277,1,0.00017505839903241132,0.017505839903241133
16001001004,001004,Voting District 001004,632918.7894676166,16001001004,16001011808,ADA - 011808,001,011808,5.71096287204113e-08,1,9.023215880263155e-14,9.023215880263156e-12
16001001005,001005,Voting District 001005,2682799.0108067077,16001001005,16001011708,ADA - 011708,001,011708,4.0530553952400003e-07,1,1.5107562582637383e-13,1.5107562582637384e-11
16001001005,001005,Voting District 001005,2682799.0108067077,16001001005,16001011710,ADA - 011710,001,011710,0.1792942272581115,1,6.68310322673775e-08,6.68310322673775e-06
16001001005,001005,Voting District 001005,2682799.0108067077,16001001005,16001011915,ADA - 011915,001,011915,366143.11177092826,34,0.13647802548608753,13.647802548608754
16001001005,001005,Voting District 001005,2682799.0108067077,16001001005,16001011916,ADA - 011916,001,011916,2316655.719741554,125,0.8635219076828808,86.35219076828808
16001001006,001006,Voting District 001006,32566870.88173699,16001001006,16001011901,ADA - 011901,001,011901,27690.53539919441,2,0.0008502669937111719,0.08502669937111719
16001001006,001006,Voting District 001006,32566870.88173699,16001001006,16001011902,ADA - 011902,001,011902,32511975.559754815,32,0.9983143814405283,99.83143814405283
16001001006,001006,Voting District 001006,32566870.88173699,16001001006,16001011909,ADA - 011909,001,011909,2.706103537383384,2,8.309375337932532e-08,8.309375337932531e-06
16001001006,001006,Voting District 001006,32566870.88173699,16001001006,16001011910,ADA - 011910,001,011910,0.22568135376039344,2,6.929783170754429e-09,6.929783170754429e-07
16001001006,001006,Voting District 001006,32566870.88173699,16001001006,16015158040,BOISE - 158040,015,158040,27201.854798701235,3,0.0008352615422427835,0.08352615422427835
