source_vtd_geoid,source_vtd_code,source_countyfp00,source_vtd_name,precinct_key,target_id,target_name,COUNTYFP,nhgis_weight,source_blocks,target_blocks,allocated_pop2000,allocated_housing2000,crosswalk_method,source_block_weight_sum,source_block_weight_avg,source_vtd_pop2000,source_vtd_housing2000,population_weight,housing_weight,block_weight,effective_weight,crosswalk_basis
16001001023,001023,001,Voting District 001023,16001001023,16001,Ada,001,69.0,69,66,1296.0,687.0,nhgis_block_weight_chain_2000_2010_2020,69.0,1.0,1296.0,687.0,1.0,1.0,1.0,1.0,population
16001001024,001024,001,Voting District 001024,16001001024,16001,Ada,001,58.00000000005116,58,57,1875.0000000162602,891.000000007744,nhgis_block_weight_chain_2000_2010_2020,58.00000000005116,1.000000000000882,1875.0000000162602,891.000000007744,1.0,1.0,1.0,1.0,population
16001001025,001025,001,Voting District 001025,16001001025,16001,Ada,001,21.0,21,18,1933.0,886.0,nhgis_block_weight_chain_2000_2010_2020,21.0,1.0,1933.0,886.0,1.0,1.0,1.0,1.0,population
16001001026,001026,001,Voting District 001026,16001001026,16001,Ada,001,31.000000000100002,31,38,2001.0000000337,1245.0000000206,nhgis_block_weight_chain_2000_2010_2020,31.000000000100002,1.0000000000032259,2001.0000000337,1245.0000000206,1.0,1.0,1.0,1.0,population
16001001027,001027,001,Voting District 001027,16001001027,16001,Ada,001,28.0,28,32,2804.0,1080.0,nhgis_block_weight_chain_2000_2010_2020,28.0,1.0,2804.0,1080.0,1.0,1.0,1.0,1.0,population
16001001028,001028,001,Voting District 001028,16001001028,16001,Ada,001,52.0,52,51,1084.0,536.0,nhgis_block_weight_chain_2000_2010_2020,52.0,1.0,1084.0,536.0,1.0,1.0,1.0,1.0,population
16001001029,001029,001,Voting District 001029,16001001029,16001,Ada,001,64.99999999946422,65,461,1784.999999939442,632.999999979685,nhgis_block_weight_chain_2000_2010_2020,64.99999999946422,0.9999999999917573,1784.999999939442,632.999999979685,1.0,1.0,1.0,1.0,population
16001001030,001030,001,Voting District 001030,16001001030,16001,Ada,001,16.0,16,21,1249.0,514.0,nhgis_block_weight_chain_2000_2010_2020,16.0,1.0,1249.0,514.0,1.0,1.0,1.0,1.0,population
16001001031,001031,001,Voting District 001031,16001001031,16001,Ada,001,71.0,71,71,1831.0,893.0,nhgis_block_weight_chain_2000_2010_2020,71.0,1.0,1831.0,893.0,1.0,1.0,1.0,1.0,population
16001001032,001032,001,Voting District 001032,16001001032,16001,Ada,001,51.00000000008706,51,56,2552.000000062597,1281.0000000356079,nhgis_block_weight_chain_2000_2010_2020,51.00000000008706,1.000000000001707,2552.000000062597,1281.0000000356079,1.0,1.0,1.0,1.0,population
16001001033,001033,001,Voting District 001033,16001001033,16001,Ada,001,47.0,47,43,1507.0,678.0,nhgis_block_weight_chain_2000_2010_2020,47.0,1.0,1507.0,678.0,1.0,1.0,1.0,1.0,population
16001001034,001034,001,Voting District 001034,16001001034,16001,Ada,001,32.0,32,29,1820.0,739.0,nhgis_block_weight_chain_2000_2010_2020,32.0,1.0,1820.0,739.0,1.0,1.0,1.0,1.0,population
16001001035,001035,001,Voting District 001035,16001001035,16001,Ada,001,29.0,29,36,1850.9999999664,913.9999999866,nhgis_block_weight_chain_2000_2010_2020,29.0,1.0,1850.9999999664,913.9999999866,1.0,1.0,1.0,1.0,population
16001001036,001036,001,Voting District 001036,16001001036,16001,Ada,001,36.9999999999,37,31,1921.9999999989,762.0000000001,nhgis_block_weight_chain_2000_2010_2020,36.9999999999,0.9999999999972973,1921.9999999989,762.0000000001,1.0,1.0,1.0,1.0,population
16001001037,001037,001,Voting District 001037,16001001037,16001,Ada,001,50.0,50,45,1383.0,657.0,nhgis_block_weight_chain_2000_2010_2020,50.0,1.0,1383.0,657.0,1.0,1.0,1.0,1.0,population
16001001038,001038,001,Voting District 001038,16001001038,16001,Ada,001,148.00000000023442,148,108,4649.000000031369,1988.0000000212344,nhgis_block_weight_chain_2000_2010_2020,148.00000000023442,1.0000000000015838,4649.000000031369,1988.0000000212344,1.0,1.0,1.0,1.0,population
16001001039,001039,001,Voting District 001039,16001001039,16001,Ada,001,42.0,42,43,2996.0,1367.0,nhgis_block_weight_chain_2000_2010_2020,42.0,1.0,2996.0,1367.0,1.0,1.0,1.0,1.0,population
16001001040,001040,001,Voting District 001040,16001001040,16001,Ada,001,31.0,31,21,1624.0,748.0,nhgis_block_weight_chain_2000_2010_2020,31.0,1.0,1624.0,748.0,1.0,1.0,1.0,1.0,population
16001001041,001041,001,Voting District 001041,16001001041,16001,Ada,001,33.0,33,33,858.0,444.0,nhgis_block_weight_chain_2000_2010_2020,33.0,1.0,858.0,444.0,1.0,1.0,1.0,1.0,population
16001001042,001042,001,Voting District 001042,16001001042,16001,Ada,001,21.999999999117385,22,18,1330.9999999200425,518.9999999678322,nhgis_block_weight_chain_2000_2010_2020,21.999999999117385,0.9999999999598811,1330.9999999200425,518.9999999678322,1.0,1.0,1.0,1.0,population
16001001043,001043,001,Voting District 001043,16001001043,16001,Ada,001,20.0,20,11,1723.0,766.0,nhgis_block_weight_chain_2000_2010_2020,20.0,1.0,1723.0,766.0,1.0,1.0,1.0,1.0,population
16001001044,001044,001,Voting District 001044,16001001044,16001,Ada,001,30.0,30,28,1701.0,712.0,nhgis_block_weight_chain_2000_2010_2020,30.0,1.0,1701.0,712.0,1.0,1.0,1.0,1.0,population
16001001045,001045,001,Voting District 001045,16001001045,16001,Ada,001,35.0,35,33,1691.0,733.0,nhgis_block_weight_chain_2000_2010_2020,35.0,1.0,1691.0,733.0,1.0,1.0,1.0,1.0,population
16001001046,001046,001,Voting District 001046,16001001046,16001,Ada,001,17.0000000003,17,30,745.0000000254,262.0000000088,nhgis_block_weight_chain_2000_2010_2020,17.0000000003,1.000000000017647,745.0000000254,262.0000000088,1.0,1.0,1.0,1.0,population
16001001047,001047,001,Voting District 001047,16001001047,16001,Ada,001,44.00000000009466,44,60,2205.9999999912966,758.9999999983918,nhgis_block_weight_chain_2000_2010_2020,44.00000000009466,1.0000000000021514,2205.9999999912966,758.9999999983918,1.0,1.0,1.0,1.0,population
16001001048,001048,001,Voting District 001048,16001001048,16001,Ada,001,77.0,77,67,1450.0,648.0,nhgis_block_weight_chain_2000_2010_2020,77.0,1.0,1450.0,648.0,1.0,1.0,1.0,1.0,population
16001001049,001049,001,Voting District 001049,16001001049,16001,Ada,001,35.0,35,34,1704.0,701.0,nhgis_block_weight_chain_2000_2010_2020,35.0,1.0,1704.0,701.0,1.0,1.0,1.0,1.0,population
16001001050,001050,001,Voting District 001050,16001001050,16001,Ada,001,26.000000000100002,26,20,2432.0000000394,946.0000000150001,nhgis_block_weight_chain_2000_2010_2020,26.000000000100002,1.0000000000038463,2432.0000000394,946.0000000150001,1.0,1.0,1.0,1.0,population
16001001051,001051,001,Voting District 001051,16001001051,16001,Ada,001,30.0,30,25,1536.0,716.0,nhgis_block_weight_chain_2000_2010_2020,30.0,1.0,1536.0,716.0,1.0,1.0,1.0,1.0,population
16001001052,001052,001,Voting District 001052,16001001052,16001,Ada,001,66.00000000029293,66,222,2991.000000002026,972.0000000025638,nhgis_block_weight_chain_2000_2010_2020,66.00000000029293,1.0000000000044382,2991.000000002026,972.0000000025638,1.0,1.0,1.0,1.0,population
16001001053,001053,001,Voting District 001053,16001001053,16001,Ada,001,40.9999999999,41,25,2587.9999999807,1168.9999999926,nhgis_block_weight_chain_2000_2010_2020,40.9999999999,0.999999999997561,2587.9999999807,1168.9999999926,1.0,1.0,1.0,1.0,population
16001001054,001054,001,Voting District 001054,16001001054,16001,Ada,001,19.000000000100002,19,12,1253.0000000344,451.000000012,nhgis_block_weight_chain_2000_2010_2020,19.000000000100002,1.0000000000052633,1253.0000000344,451.000000012,1.0,1.0,1.0,1.0,population
16001001055,001055,001,Voting District 001055,16001001055,16001,Ada,001,20.0,20,21,1078.0,362.0,nhgis_block_weight_chain_2000_2010_2020,20.0,1.0,1078.0,362.0,1.0,1.0,1.0,1.0,population
16001001056,001056,001,Voting District 001056,16001001056,16001,Ada,001,26.0,26,23,1819.0,713.0,nhgis_block_weight_chain_2000_2010_2020,26.0,1.0,1819.0,713.0,1.0,1.0,1.0,1.0,population
16001001057,001057,001,Voting District 001057,16001001057,16001,Ada,001,19.0,19,19,981.0,410.0,nhgis_block_weight_chain_2000_2010_2020,19.0,1.0,981.0,410.0,1.0,1.0,1.0,1.0,population
16001001058,001058,001,Voting District 001058,16001001058,16001,Ada,001,13.9999999999,14,14,1046.9999999546,440.9999999803,nhgis_block_weight_chain_2000_2010_2020,13.9999999999,0.9999999999928572,1046.9999999546,440.9999999803,1.0,1.0,1.0,1.0,population
16001001059,001059,001,Voting District 001059,16001001059,16001,Ada,001,19.999999999899998,20,19,1342.9999999924,527.9999999967999,nhgis_block_weight_chain_2000_2010_2020,19.999999999899998,0.9999999999949999,1342.9999999924,527.9999999967999,1.0,1.0,1.0,1.0,population
16001001060,001060,001,Voting District 001060,16001001060,16001,Ada,001,18.0,18,18,1154.0,433.0,nhgis_block_weight_chain_2000_2010_2020,18.0,1.0,1154.0,433.0,1.0,1.0,1.0,1.0,population
16001001061,001061,001,Voting District 001061,16001001061,16001,Ada,001,17.9999999999,18,21,1671.9999999879,722.999999995,nhgis_block_weight_chain_2000_2010_2020,17.9999999999,0.9999999999944446,1671.9999999879,722.999999995,1.0,1.0,1.0,1.0,population
16001001062,001062,001,Voting District 001062,16001001062,16001,Ada,001,39.0,39,24,2144.0,899.0,nhgis_block_weight_chain_2000_2010_2020,39.0,1.0,2144.0,899.0,1.0,1.0,1.0,1.0,population
16001001063,001063,001,Voting District 001063,16001001063,16001,Ada,001,27.0,27,21,2445.0,815.0,nhgis_block_weight_chain_2000_2010_2020,27.0,1.0,2445.0,815.0,1.0,1.0,1.0,1.0,population
16001001064,001064,001,Voting District 001064,16001001064,16001,Ada,001,89.99999999920891,90,147,1999.0000000684493,807.0000000247305,nhgis_block_weight_chain_2000_2010_2020,89.99999999920891,0.9999999999912101,1999.0000000684493,807.0000000247305,1.0,1.0,1.0,1.0,population
16001001065,001065,001,Voting District 001065,16001001065,16001,Ada,001,62.00000000003762,62,66,2090.9999999571346,941.99999998179,nhgis_block_weight_chain_2000_2010_2020,62.00000000003762,1.0000000000006068,2090.9999999571346,941.99999998179,1.0,1.0,1.0,1.0,population
16001001066,001066,001,Voting District 001066,16001001066,16001,Ada,001,44.99999999946014,45,119,2225.9999999499482,710.9999999829653,nhgis_block_weight_chain_2000_2010_2020,44.99999999946014,0.999999999988003,2225.9999999499482,710.9999999829653,1.0,1.0,1.0,1.0,population
16001001067,001067,001,Voting District 001067,16001001067,16001,Ada,001,110.99999999865264,111,155,4037.9999999769193,1383.9999999910858,nhgis_block_weight_chain_2000_2010_2020,110.99999999865264,0.9999999999878616,4037.9999999769193,1383.9999999910858,1.0,1.0,1.0,1.0,population
16001001068,001068,001,Voting District 001068,16001001068,16001,Ada,001,142.99999999929884,143,280,4508.999999989246,1574.9999999992544,nhgis_block_weight_chain_2000_2010_2020,142.99999999929884,0.9999999999950968,4508.999999989246,1574.9999999992544,1.0,1.0,1.0,1.0,population
16001001069,001069,001,Voting District 001069,16001001069,16001,Ada,001,153.0,153,104,3160.0000000026,273.0000000013,nhgis_block_weight_chain_2000_2010_2020,153.0,1.0,3160.0000000026,273.0000000013,1.0,1.0,1.0,1.0,population
16001001070,001070,001,Voting District 001070,16001001070,16001,Ada,001,124.9999157521,125,56,145.0,53.0,nhgis_block_weight_chain_2000_2010_2020,124.9999157521,0.9999993260168,145.0,53.0,1.0,1.0,0.9999993260168,1.0,population
16001001070,001070,001,Voting District 001070,16001001070,16073,Owyhee,073,8.42479e-05,1,1,0.0,0.0,nhgis_block_weight_chain_2000_2010_2020,8.42479e-05,8.42479e-05,145.0,53.0,0.0,0.0,6.739832000000001e-07,0.0,population
16001001071,001071,001,Voting District 001071,16001001071,16001,Ada,001,110.0000000003021,110,86,2634.9999999987376,1113.9999999994147,nhgis_block_weight_chain_2000_2010_2020,110.0000000003021,1.0000000000027462,2634.9999999987376,1113.9999999994147,1.0,1.0,1.0,1.0,population
16001001072,001072,001,Voting District 001072,16001001072,16001,Ada,001,23.999999999899998,24,17,1704.9999999730999,640.9999999905,nhgis_block_weight_chain_2000_2010_2020,23.999999999899998,0.9999999999958332,1704.9999999730999,640.9999999905,1.0,1.0,1.0,1.0,population
16001001073,001073,001,Voting District 001073,16001001073,16001,Ada,001,67.9999999997,68,77,4747.999999814,1538.9999999427,nhgis_block_weight_chain_2000_2010_2020,67.9999999997,0.9999999999955882,4747.999999814,1538.9999999427,1.0,1.0,1.0,1.0,population
16001001074,001074,001,Voting District 001074,16001001074,16001,Ada,001,52.999509875265254,53,190,2802.0000000845193,1044.000000030675,nhgis_block_weight_chain_2000_2010_2020,52.999509875265254,0.9999907523634953,2802.0000000845193,1044.000000030675,1.0,1.0,0.9999907523415096,1.0,population
16001001074,001074,001,Voting District 001074,16001001074,16045,Gem,045,0.0004901259,1,1,0.0,0.0,nhgis_block_weight_chain_2000_2010_2020,0.0004901259,0.0004901259,2802.0000000845193,1044.000000030675,0.0,0.0,9.24765849036272e-06,0.0,population
16001001075,001075,001,Voting District 001075,16001001075,16001,Ada,001,30.0,30,24,1947.0,652.0,nhgis_block_weight_chain_2000_2010_2020,30.0,1.0,1947.0,652.0,1.0,1.0,1.0,1.0,population
16001001076,001076,001,Voting District 001076,16001001076,16001,Ada,001,24.999999999899998,25,22,1705.9999999881,575.9999999958,nhgis_block_weight_chain_2000_2010_2020,24.999999999899998,0.999999999996,1705.9999999881,575.9999999958,1.0,1.0,1.0,1.0,population
16001001077,001077,001,Voting District 001077,16001001077,16001,Ada,001,67.9999999999,68,52,2892.9999999985,932.9999999994,nhgis_block_weight_chain_2000_2010_2020,67.9999999999,0.9999999999985294,2892.9999999985,932.9999999994,1.0,1.0,1.0,1.0,population
16001001078,001078,001,Voting District 001078,16001001078,16001,Ada,001,39.999999999799996,40,68,1315.9999999945,415.9999999978,nhgis_block_weight_chain_2000_2010_2020,39.999999999799996,0.9999999999949999,1315.9999999945,415.9999999978,1.0,1.0,1.0,1.0,population
16001001079,001079,001,Voting District 001079,16001001079,16001,Ada,001,28.0000000001,28,24,3052.0000001094,889.0000000307,nhgis_block_weight_chain_2000_2010_2020,28.0000000001,1.0000000000035714,3052.0000001094,889.0000000307,1.0,1.0,1.0,1.0,population
16001001080,001080,001,Voting District 001080,16001001080,16001,Ada,001,39.0,39,40,2633.0,939.0,nhgis_block_weight_chain_2000_2010_2020,39.0,1.0,2633.0,939.0,1.0,1.0,1.0,1.0,population
16001001081,001081,001,Voting District 001081,16001001081,16001,Ada,001,43.0,43,32,3399.0,881.0,nhgis_block_weight_chain_2000_2010_2020,43.0,1.0,3399.0,881.0,1.0,1.0,1.0,1.0,population
16001001082,001082,001,Voting District 001082,16001001082,16001,Ada,001,30.000000000100002,30,26,3629.0000000210002,1484.0000000073999,nhgis_block_weight_chain_2000_2010_2020,30.000000000100002,1.0000000000033333,3629.0000000210002,1484.0000000073999,1.0,1.0,1.0,1.0,population
16001001083,001083,001,Voting District 001083,16001001083,16001,Ada,001,70.0,70,99,2606.9999999754,1000.9999999904,nhgis_block_weight_chain_2000_2010_2020,70.0,1.0,2606.9999999754,1000.9999999904,1.0,1.0,1.0,1.0,population
16001001084,001084,001,Voting District 001084,16001001084,16001,Ada,001,44.0,44,33,2480.0,1085.0,nhgis_block_weight_chain_2000_2010_2020,44.0,1.0,2480.0,1085.0,1.0,1.0,1.0,1.0,population
16001001085,001085,001,Voting District 001085,16001001085,16001,Ada,001,41.999999999799996,42,43,2119.9999999967,748.9999999987,nhgis_block_weight_chain_2000_2010_2020,41.999999999799996,0.999999999995238,2119.9999999967,748.9999999987,1.0,1.0,1.0,1.0,population
16001001086,001086,001,Voting District 001086,16001001086,16001,Ada,001,51.0,51,48,3913.0,1550.0,nhgis_block_weight_chain_2000_2010_2020,51.0,1.0,3913.0,1550.0,1.0,1.0,1.0,1.0,population
16001001087,001087,001,Voting District 001087,16001001087,16001,Ada,001,70.00000000029945,70,70,4151.000000039948,1593.0000000131201,nhgis_block_weight_chain_2000_2010_2020,70.00000000029945,1.000000000004278,4151.000000039948,1593.0000000131201,1.0,1.0,1.0,1.0,population
16001001088,001088,001,Voting District 001088,16001001088,16001,Ada,001,57.99999999962899,58,64,3207.9999999817715,1255.9999999928934,nhgis_block_weight_chain_2000_2010_2020,57.99999999962899,0.9999999999936032,3207.9999999817715,1255.9999999928934,1.0,1.0,1.0,1.0,population
16001001089,001089,001,Voting District 001089,16001001089,16001,Ada,001,52.00000000114792,52,61,2388.0000000384184,923.0000000142697,nhgis_block_weight_chain_2000_2010_2020,52.00000000114792,1.0000000000220752,2388.0000000384184,923.0000000142697,1.0,1.0,1.0,1.0,population
16001001090,001090,001,Voting District 001090,16001001090,16001,Ada,001,71.00000000078246,71,93,2879.0000000436567,939.0000000134439,nhgis_block_weight_chain_2000_2010_2020,71.00000000078246,1.0000000000110205,2879.0000000436567,939.0000000134439,1.0,1.0,1.0,1.0,population
16001001091,001091,001,Voting District 001091,16001001091,16001,Ada,001,146.9999999998596,147,336,6656.000000036955,2258.0000000093455,nhgis_block_weight_chain_2000_2010_2020,146.9999999998596,0.9999999999990449,6656.000000036955,2258.0000000093455,1.0,1.0,1.0,1.0,population
16001001092,001092,001,Voting District 001092,16001001092,16001,Ada,001,135.00000000025742,135,128,1757.0000000127661,562.0000000038256,nhgis_block_weight_chain_2000_2010_2020,135.00000000025742,1.0000000000019067,1757.0000000127661,562.0000000038256,1.0,1.0,1.0,1.0,population
16001001093,001093,001,Voting District 001093,16001001093,16001,Ada,001,33.0,33,54,1792.9999999894,593.999999997,nhgis_block_weight_chain_2000_2010_2020,33.0,1.0,1792.9999999894,593.999999997,1.0,1.0,1.0,1.0,population
16001001094,001094,001,Voting District 001094,16001001094,16001,Ada,001,39.000000000298996,39,52,711.0000000353123,234.00000001137886,nhgis_block_weight_chain_2000_2010_2020,39.000000000298996,1.0000000000076665,711.0000000353123,234.00000001137886,1.0,1.0,1.0,1.0,population
16001001095,001095,001,Voting District 001095,16001001095,16001,Ada,001,77.0,77,76,4736.0000000045,1694.9999999961,nhgis_block_weight_chain_2000_2010_2020,77.0,1.0,4736.0000000045,1694.9999999961,1.0,1.0,1.0,1.0,population
16001001096,001096,001,Voting District 001096,16001001096,16001,Ada,001,65.0,65,58,3678.9999999479,1338.9999999812,nhgis_block_weight_chain_2000_2010_2020,65.0,1.0,3678.9999999479,1338.9999999812,1.0,1.0,1.0,1.0,population
16001001097,001097,001,Voting District 001097,16001001097,16001,Ada,001,39.0,39,39,2330.0,835.0,nhgis_block_weight_chain_2000_2010_2020,39.0,1.0,2330.0,835.0,1.0,1.0,1.0,1.0,population
