source_vtd_geoid,source_vtd_code,source_vtd_name,source_vtd_area_m2,precinct_key,target_id,target_name,district_num,CD119FP,intersection_area_m2,source_blocks,area_weight,source_area_share_pct
16001001001,001001,Voting District 001001,1178820.038666604,16001001001,1602,Congressional District 2,2,02,1178820.0386656118,58,0.9999999999991582,99.99999999991583
16001001002,001002,Voting District 001002,1356723.7502476256,16001001002,1602,Congressional District 2,2,02,1356723.750248007,16,1.000000000000281,100.00000000002811
16001001003,001003,Voting District 001003,993420.0719199812,16001001003,1602,Congressional District 2,2,02,993420.0719205246,35,1.0000000000005471,100.00000000005471
16001001004,001004,Voting District 001004,632918.7894676166,16001001004,1602,Congressional District 2,2,02,632918.7894674614,40,0.9999999999997549,99.99999999997549
16001001005,001005,Voting District 001005,2682799.0108067077,16001001005,1602,Congressional District 2,2,02,2682799.0108071147,156,1.0000000000001517,100.00000000001516
16001001006,001006,Voting District 001006,32566870.88173699,16001001006,1601,Congressional District 1,1,01,27201.854798701235,3,0.0008352615422427835,0.08352615422427835
16001001006,001006,Voting District 001006,32566870.88173699,16001001006,1602,Congressional District 2,2,02,32539669.02693887,32,0.9991647384577751,99.9164738457775
16001001007,001007,Voting District 001007,1379408.2529024966,16001001007,1602,Congressional District 2,2,02,1379408.252901936,33,0.9999999999995935,99.99999999995936
16001001008,001008,Voting District 001008,1271100.649601516,16001001008,1602,Congressional District 2,2,02,1271100.6496013026,39,0.999999999999832,99.9999999999832
16001001009,001009,Voting District 001009,1241507.146231983,16001001009,1602,Congressional District 2,2,02,1241507.1462307826,27,0.999999999999033,99.9999999999033
16001001010,001010,Voting District 001010,1021883.2040214596,16001001010,1602,Congressional District 2,2,02,1021883.2040212484,21,0.9999999999997934,99.99999999997934
16001001011,001011,Voting District 001011,683541.3240309168,16001001011,1602,Congressional District 2,2,02,683541.3240303478,58,0.9999999999991676,99.99999999991675
16001001012,001012,Voting District 001012,17303335.520242903,16001001012,1601,Congressional District 1,1,01,14920371.216867741,43,0.8622829511346313,86.22829511346313
16001001012,001012,Voting District 001012,17303335.520242903,16001001012,1602,Congressional District 2,2,02,2382964.303374578,32,0.13771704886533495,13.771704886533495
16001001013,001013,Voting District 001013,714639.8706646541,16001001013,1602,Congressional District 2,2,02,714639.8706644798,35,0.9999999999997561,99.99999999997561
16001001014,001014,Voting District 001014,997042.776351764,16001001014,1602,Congressional District 2,2,02,997042.7763518308,41,1.000000000000067,100.00000000000671
16001001015,001015,Voting District 001015,1793804.9595804922,16001001015,1602,Congressional District 2,2,02,1793804.959579683,34,0.9999999999995488,99.99999999995488
16001001016,001016,Voting District 001016,3676517.275202169,16001001016,1602,Congressional District 2,2,02,3676517.275203178,48,1.0000000000002744,100.00000000002744
16001001017,001017,Voting District 001017,2480770.66656564,16001001017,1602,Congressional District 2,2,02,2480770.666563812,44,0.9999999999992633,99.99999999992633
16001001018,001018,Voting District 001018,800244.411733974,16001001018,1602,Congressional District 2,2,02,800244.4117339477,51,0.9999999999999671,99.99999999999672
16001001019,001019,Voting District 001019,400674.8312773585,16001001019,1602,Congressional District 2,2,02,400674.831277193,41,0.9999999999995869,99.99999999995869
16001001020,001020,Voting District 001020,2582843.762359653,16001001020,1602,Congressional District 2,2,02,2582843.7623598324,47,1.0000000000000695,100.00000000000695
16001001021,001021,Voting District 001021,496897.3725124216,16001001021,1602,Congressional District 2,2,02,496897.372512632,50,1.0000000000004234,100.00000000004235
16001001022,001022,Voting District 001022,604721.0639164562,16001001022,1602,Congressional District 2,2,02,604721.0639163597,48,0.9999999999998405,99.99999999998404
16001001023,001023,Voting District 001023,1075099.1722664163,16001001023,1602,Congressional District 2,2,02,1075099.1722666277,69,1.0000000000001967,100.00000000001967
16001001024,001024,Voting District 001024,1018095.5825505424,16001001024,1602,Congressional District 2,2,02,1018095.5825502946,58,0.9999999999997565,99.99999999997566
16001001025,001025,Voting District 001025,2333586.3980743224,16001001025,1602,Congressional District 2,2,02,2333586.3980750893,21,1.0000000000003286,100.00000000003286
16001001026,001026,Voting District 001026,1296983.1254100243,16001001026,1602,Congressional District 2,2,02,1296983.1254099528,31,0.9999999999999449,99.99999999999449
16001001027,001027,Voting District 001027,1273299.1249209389,16001001027,1602,Congressional District 2,2,02,1273299.124922271,28,1.000000000001046,100.0000000001046
16001001028,001028,Voting District 001028,686524.5345482352,16001001028,1602,Congressional District 2,2,02,686524.5345479036,52,0.9999999999995169,99.9999999999517
16001001029,001029,Voting District 001029,54962738.28197838,16001001029,1601,Congressional District 1,1,01,54962738.28198107,65,1.0000000000000488,100.00000000000489
16001001030,001030,Voting District 001030,30801102.035728466,16001001030,1601,Congressional District 1,1,01,28975.202848383087,5,0.0009407196799248486,0.09407196799248486
16001001030,001030,Voting District 001030,30801102.035728466,16001001030,1602,Congressional District 2,2,02,30772126.832880717,16,0.9990592803200957,99.90592803200957
16001001031,001031,Voting District 001031,740314.4953663142,16001001031,1602,Congressional District 2,2,02,740314.4953664269,71,1.0000000000001523,100.00000000001523
16001001032,001032,Voting District 001032,1620869.4844669066,16001001032,1602,Congressional District 2,2,02,1620869.484467004,51,1.00000000000006,100.000000000006
16001001033,001033,Voting District 001033,985684.326716183,16001001033,1602,Congressional District 2,2,02,985684.3267168769,47,1.000000000000704,100.00000000007041
16001001034,001034,Voting District 001034,838369.2683992027,16001001034,1602,Congressional District 2,2,02,838369.2683998271,32,1.0000000000007447,100.00000000007448
16001001035,001035,Voting District 001035,2557489.705451923,16001001035,1602,Congressional District 2,2,02,2557489.7054523663,29,1.0000000000001734,100.00000000001734
16001001036,001036,Voting District 001036,1953252.3070419997,16001001036,1602,Congressional District 2,2,02,1953252.3070423477,37,1.0000000000001783,100.00000000001783
16001001037,001037,Voting District 001037,1070910.0071285286,16001001037,1602,Congressional District 2,2,02,1070910.0071276454,50,0.9999999999991753,99.99999999991753
16001001038,001038,Voting District 001038,5987700.646111984,16001001038,1602,Congressional District 2,2,02,5987700.646111004,148,0.9999999999998364,99.99999999998363
16001001039,001039,Voting District 001039,1714957.4972370635,16001001039,1602,Congressional District 2,2,02,1714957.4972367985,42,0.9999999999998455,99.99999999998454
16001001040,001040,Voting District 001040,959518.8694848968,16001001040,1602,Congressional District 2,2,02,959518.8694844891,31,0.9999999999995751,99.99999999995751
16001001041,001041,Voting District 001041,350507.2300008568,16001001041,1602,Congressional District 2,2,02,350507.23000058497,33,0.9999999999992245,99.99999999992245
16001001042,001042,Voting District 001042,11533674.553702597,16001001042,1602,Congressional District 2,2,02,11533674.553702172,22,0.9999999999999631,99.99999999999632
16001001043,001043,Voting District 001043,803770.5729143481,16001001043,1602,Congressional District 2,2,02,803770.5729141118,20,0.999999999999706,99.9999999999706
16001001044,001044,Voting District 001044,975966.8068046612,16001001044,1602,Congressional District 2,2,02,975966.8068045476,30,0.9999999999998835,99.99999999998835
16001001045,001045,Voting District 001045,972046.9061598438,16001001045,1602,Congressional District 2,2,02,972046.9061603231,35,1.0000000000004932,100.00000000004931
16001001046,001046,Voting District 001046,2630239.1107798447,16001001046,1601,Congressional District 1,1,01,2630239.1107788505,17,0.999999999999622,99.9999999999622
16001001047,001047,Voting District 001047,2584778.194076557,16001001047,1601,Congressional District 1,1,01,2584778.175000761,44,0.9999999926199485,99.99999926199486
16001001047,001047,Voting District 001047,2584778.194076557,16001001047,1602,Congressional District 2,2,02,0.019076097880612902,2,7.3801682188161855e-09,7.380168218816186e-07
