source_vtd_geoid,source_vtd_code,source_vtd_name,source_vtd_area_m2,precinct_key,target_id,target_name,district_num,SLDLST,intersection_area_m2,source_blocks,area_weight,source_area_share_pct
16001001001,001001,Voting District 001001,1178820.038666604,16001001001,16019,State House District 19,19,019,1178820.0386656118,58,0.9999999999991582,99.99999999991583
16001001002,001002,Voting District 001002,1356723.7502476256,16001001002,16017,State House District 17,17,017,1356723.750248007,16,1.000000000000281,100.00000000002811
16001001003,001003,Voting District 001003,993420.0719199812,16001001003,16018,State House District 18,18,018,993420.0719205246,35,1.0000000000005471,100.00000000005471
16001001004,001004,Voting District 001004,632918.7894676166,16001001004,16018,State House District 18,18,018,632918.7894674614,40,0.9999999999997549,99.99999999997549
16001001005,001005,Voting District 001005,2682799.0108067077,16001001005,16017,State House District 17,17,017,4.0530553952400003e-07,1,1.5107562582637383e-13,1.5107562582637384e-11
16001001005,001005,Voting District 001005,2682799.0108067077,16001001005,16018,State House District 18,18,018,0.1792942272581115,1,6.68310322673775e-08,6.68310322673775e-06
16001001005,001005,Voting District 001005,2682799.0108067077,16001001005,16019,State House District 19,19,019,2682798.8315124824,156,0.9999999331689685,99.99999331689685
16001001006,001006,Voting District 001006,32566870.88173699,16001001006,16008,State House District 8,8,008,27201.854798701235,3,0.0008352615422427835,0.08352615422427835
16001001006,001006,Voting District 001006,32566870.88173699,16001001006,16019,State House District 19,19,019,32539669.02693887,32,0.9991647384577751,99.9164738457775
16001001007,001007,Voting District 001007,1379408.2529024966,16001001007,16017,State House District 17,17,017,1379407.9854161765,33,0.9999998060861826,99.99998060861826
16001001007,001007,Voting District 001007,1379408.2529024966,16001001007,16018,State House District 18,18,018,0.2674857022194317,2,1.939133694876762e-07,1.939133694876762e-05
16001001007,001007,Voting District 001007,1379408.2529024966,16001001007,16019,State House District 19,19,019,5.7437866116171e-08,1,4.16394972230393e-14,4.16394972230393e-12
16001001008,001008,Voting District 001008,1271100.649601516,16001001008,16016,State House District 16,16,016,1241505.415998361,39,0.9767168448757909,97.67168448757909
16001001008,001008,Voting District 001008,1271100.649601516,16001001008,16017,State House District 17,17,017,29595.23360293607,7,0.023283155124036822,2.328315512403682
16001001009,001009,Voting District 001009,1241507.146231983,16001001009,16018,State House District 18,18,018,1241507.1462307826,27,0.999999999999033,99.9999999999033
16001001010,001010,Voting District 001010,1021883.2040214596,16001001010,16017,State House District 17,17,017,1021883.2040207909,21,0.9999999999993456,99.99999999993456
16001001010,001010,Voting District 001010,1021883.2040214596,16001001010,16018,State House District 18,18,018,4.6242356548196074e-07,2,4.525209570547456e-13,4.5252095705474556e-11
16001001011,001011,Voting District 001011,683541.3240309168,16001001011,16019,State House District 19,19,019,683541.3240303478,58,0.9999999999991676,99.99999999991675
