source_vtd_geoid,source_vtd_code,source_countyfp00,source_vtd_name,precinct_key,target_id,target_name,district_num,CD119FP,nhgis_weight,source_blocks,target_blocks,allocated_pop2000,allocated_housing2000,crosswalk_method,source_block_weight_sum,source_block_weight_avg,source_vtd_pop2000,source_vtd_housing2000,population_weight,housing_weight,block_weight,effective_weight,crosswalk_basis
16001001001,001001,001,Voting District 001001,16001001001,1602,Congressional District 2,2,02,58.0,58,47,1601.0,934.0,nhgis_block_weight_chain_2000_2010_2020,58.0,1.0,1601.0,934.0,1.0,1.0,1.0,1.0,population
16001001002,001002,001,Voting District 001002,16001001002,1602,Congressional District 2,2,02,16.0,16,21,1709.0000000128,835.0000000033999,nhgis_block_weight_chain_2000_2010_2020,16.0,1.0,1709.0000000128,835.0000000033999,1.0,1.0,1.0,1.0,population
16001001003,001003,001,Voting District 001003,16001001003,1602,Congressional District 2,2,02,35.0,35,31,1554.0,771.0,nhgis_block_weight_chain_2000_2010_2020,35.0,1.0,1554.0,771.0,1.0,1.0,1.0,1.0,population
16001001004,001004,001,Voting District 001004,16001001004,1602,Congressional District 2,2,02,40.0,40,37,1530.0,728.0,nhgis_block_weight_chain_2000_2010_2020,40.0,1.0,1530.0,728.0,1.0,1.0,1.0,1.0,population
16001001005,001005,001,Voting District 001005,16001001005,1602,Congressional District 2,2,02,156.0,156,151,1585.0,1069.0,nhgis_block_weight_chain_2000_2010_2020,156.0,1.0,1585.0,1069.0,1.0,1.0,1.0,1.0,population
16001001006,001006,001,Voting District 001006,16001001006,1602,Congressional District 2,2,02,31.9999999999984,32,22,1296.9999999999968,501.9999999999984,nhgis_block_weight_chain_2000_2010_2020,31.9999999999984,0.99999999999995,1296.9999999999968,501.9999999999984,1.0,1.0,1.0,1.0,population
16001001007,001007,001,Voting District 001007,16001001007,1602,Congressional District 2,2,02,33.0,33,25,1576.0,1020.0,nhgis_block_weight_chain_2000_2010_2020,33.0,1.0,1576.0,1020.0,1.0,1.0,1.0,1.0,population
16001001008,001008,001,Voting District 001008,16001001008,1602,Congressional District 2,2,02,38.999999999999964,39,44,1822.000000001056,954.0000000019354,nhgis_block_weight_chain_2000_2010_2020,38.999999999999964,0.9999999999999991,1822.000000001056,954.0000000019354,1.0,1.0,1.0,1.0,population
16001001009,001009,001,Voting District 001009,16001001009,1602,Congressional District 2,2,02,26.999999999899998,27,28,2157.9999999666,801.9999999873,nhgis_block_weight_chain_2000_2010_2020,26.999999999899998,0.9999999999962962,2157.9999999666,801.9999999873,1.0,1.0,1.0,1.0,population
16001001010,001010,001,Voting District 001010,16001001010,1602,Congressional District 2,2,02,21.0,21,18,1319.0,517.0,nhgis_block_weight_chain_2000_2010_2020,21.0,1.0,1319.0,517.0,1.0,1.0,1.0,1.0,population
