precinct_key,precinct_norm,COUNTYFP20,prec_id,district_num,target_id,target_name,area_weight,population_weight,housing_weight,block_weight,crosswalk_basis
16017171001,BONNER - 171001,017,171001,1,16001,State House District 1,1.0,1.0,1.0,1.0,population
16017171002,BONNER - 171002,017,171002,1,16001,State House District 1,1.0,1.0,1.0,1.0,population
16017171003,BONNER - 171003,017,171003,1,16001,State House District 1,1.0,1.0,1.0,1.0,population
16017171004,BONNER - 171004,017,171004,1,16001,State House District 1,1.0,1.0,1.0,1.0,population
16017171006,BONNER - 171006,017,171006,1,16001,State House District 1,1.0,1.0,1.0,1.0,population
16017171007,BONNER - 171007,017,171007,1,16001,State House District 1,1.0,1.0,1.0,1.0,population
16017171008,BONNER - 171008,017,171008,1,16001,State House District 1,1.0,1.0,1.0,1.0,population
16017171009,BONNER - 171009,017,171009,1,16001,State House District 1,1.0,1.0,1.0,1.0,population
16017171010,BONNER - 171010,017,171010,1,16001,State House District 1,1.0,1.0,1.0,1.0,population
16017171011,BONNER - 171011,017,171011,1,16001,State House District 1,0.41978467667962244,0.41978467667962244,0.48256797957875536,0.46335849821060276,population
16017171013,BONNER - 171013,017,171013,1,16001,State House District 1,1.0,1.0,1.0,1.0,population
16017171014,BONNER - 171014,017,171014,1,16001,State House District 1,1.0,1.0,1.0,1.0,population
16017171015,BONNER - 171015,017,171015,1,16001,State House District 1,1.0,1.0,1.0,1.0,population
16017171017,BONNER - 171017,017,171017,1,16001,State House District 1,1.0,1.0,1.0,1.0,population
16017171018,BONNER - 171018,017,171018,1,16001,State House District 1,1.0,1.0,1.0,1.0,population
16017171020,BONNER - 171020,017,171020,1,16001,State House District 1,1.0,1.0,1.0,1.0,population
16017171021,BONNER - 171021,017,171021,1,16001,State House District 1,1.0,1.0,1.0,1.0,population
16017171022,BONNER - 171022,017,171022,1,16001,State House District 1,1.0,1.0,1.0,1.0,population
16017171023,BONNER - 171023,017,171023,1,16001,State House District 1,1.0,1.0,1.0,1.0,population
16017171024,BONNER - 171024,017,171024,1,16001,State House District 1,1.0,1.0,1.0,1.0,population
16017171026,BONNER - 171026,017,171026,1,16001,State House District 1,1.0,1.0,1.0,1.0,population
16017171030,BONNER - 171030,017,171030,1,16001,State House District 1,1.0,1.0,1.0,1.0,population
16017171031,BONNER - 171031,017,171031,1,16001,State House District 1,1.0,1.0,1.0,1.0,population
16017171032,BONNER - 171032,017,171032,1,16001,State House District 1,1.0,1.0,1.0,1.0,population
16017171033,BONNER - 171033,017,171033,1,16001,State House District 1,1.0,1.0,1.0,1.0,population
1601717127A,BONNER - 17127A,017,17127A,1,16001,State House District 1,1.0,1.0,1.0,1.0,population
1601717127B,BONNER - 17127B,017,17127B,1,16001,State House District 1,1.0,1.0,1.0,1.0,population
16017177012,BONNER - 177012,017,177012,1,16001,State House District 1,1.0,1.0,1.0,1.0,population
16017177019,BONNER - 177019,017,177019,1,16001,State House District 1,1.0,1.0,1.0,1.0,population
16017177025,BONNER - 177025,017,177025,1,16001,State House District 1,1.0,1.0,1.0,1.0,population
16017177028,BONNER - 177028,017,177028,1,16001,State House District 1,1.0,1.0,1.0,1.0,population
16021211001,BOUNDARY - 211001,021,211001,1,16001,State House District 1,1.0,1.0,1.0,1.0,population
16021211002,BOUNDARY - 211002,021,211002,1,16001,State House District 1,1.0,1.0,1.0,1.0,population
16021211003,BOUNDARY - 211003,021,211003,1,16001,State House District 1,1.0,1.0,1.0,1.0,population
16021211004,BOUNDARY - 211004,021,211004,1,16001,State House District 1,1.0,1.0,1.0,1.0,population
16021211005,BOUNDARY - 211005,021,211005,1,16001,State House District 1,1.0,1.0,1.0,1.0,population
16021211006,BOUNDARY - 211006,021,211006,1,16001,State House District 1,1.0,1.0,1.0,1.0,population
16021211007,BOUNDARY - 211007,021,211007,1,16001,State House District 1,1.0,1.0,1.0,1.0,population
16009095001,BENEWAH - 095001,009,095001,2,16002,State House District 2,1.0,1.0,1.0,1.0,population
16009095002,BENEWAH - 095002,009,095002,2,16002,State House District 2,1.0,1.0,1.0,1.0,population
16009095003,BENEWAH - 095003,009,095003,2,16002,State House District 2,1.0,1.0,1.0,1.0,population
16009095004,BENEWAH - 095004,009,095004,2,16002,State House District 2,1.0,1.0,1.0,1.0,population
16009095005,BENEWAH - 095005,009,095005,2,16002,State House District 2,1.0,1.0,1.0,1.0,population
16009095006,BENEWAH - 095006,009,095006,2,16002,State House District 2,1.0,1.0,1.0,1.0,population
16009095007,BENEWAH - 095007,009,095007,2,16002,State House District 2,1.0,1.0,1.0,1.0,population
16009095008,BENEWAH - 095008,009,095008,2,16002,State House District 2,1.0,1.0,1.0,1.0,population
16009095009,BENEWAH - 095009,009,095009,2,16002,State House District 2,1.0,1.0,1.0,1.0,population
16009095010,BENEWAH - 095010,009,095010,2,16002,State House District 2,1.0,1.0,1.0,1.0,population
16009095011,BENEWAH - 095011,009,095011,2,16002,State House District 2,1.0,1.0,1.0,1.0,population
16017171011,BONNER - 171011,017,171011,2,16002,State House District 2,0.5802153233203775,0.5802153233203775,0.5174320204212447,0.5366415017893973,population
16017171016,BONNER - 171016,017,171016,2,16002,State House District 2,1.0,1.0,1.0,1.0,population
16017171029,BONNER - 171029,017,171029,2,16002,State House District 2,1.0,1.0,1.0,1.0,population
16017177005,BONNER - 177005,017,177005,2,16002,State House District 2,1.0,1.0,1.0,1.0,population
16035357001,CLEARWATER - 357001,035,357001,2,16002,State House District 2,1.0,1.0,1.0,1.0,population
16035357002,CLEARWATER - 357002,035,357002,2,16002,State House District 2,1.0,1.0,1.0,1.0,population
16035357003,CLEARWATER - 357003,035,357003,2,16002,State House District 2,1.0,1.0,1.0,1.0,population
