precinct_id,vap_18plus,white_vap,black_vap,hispanic_vap,native_vap,asian_vap,pacific_vap,multiracial_vap,white_vap_pct,black_vap_pct,hispanic_vap_pct,native_vap_pct,asian_vap_pct,pacific_vap_pct,multiracial_vap_pct
ADA - 011401,2728,2426,0,126,0,16,0,95,88.93,0.0,4.62,0.0,0.59,0.0,3.48
ADA - 011402,1971,1870,0,74,0,3,0,29,94.88,0.0,3.75,0.0,0.15,0.0,1.47
ADA - 011403,660,615,0,23,0,3,0,10,93.18,0.0,3.48,0.0,0.45,0.0,1.52
ADA - 011404,4281,3944,0,138,0,169,0,95,92.13,0.0,3.22,0.0,3.95,0.0,2.22
ADA - 011405,3005,2462,37,421,8,0,0,82,81.93,1.23,14.01,0.27,0.0,0.0,2.73
ADA - 011406,6623,5783,39,421,0,195,0,159,87.32,0.59,6.36,0.0,2.94,0.0,2.4
ADA - 011407,2244,2149,6,64,0,14,0,11,95.77,0.27,2.85,0.0,0.62,0.0,0.49
ADA - 011408,2045,1915,0,76,0,20,3,37,93.64,0.0,3.72,0.0,0.98,0.15,1.81
ADA - 011409,1583,1437,0,39,0,43,0,30,90.78,0.0,2.46,0.0,2.72,0.0,1.9
ADA - 011410,2365,2139,0,137,0,53,5,17,90.44,0.0,5.79,0.0,2.24,0.21,0.72
ADA - 011411,2712,2426,0,103,17,20,56,113,89.45,0.0,3.8,0.63,0.74,2.06,4.17
ADA - 011412,2356,2113,0,193,0,1,0,57,89.69,0.0,8.19,0.0,0.04,0.0,2.42
ADA - 011413,8658,7719,65,602,0,114,0,170,89.15,0.75,6.95,0.0,1.32,0.0,1.96
ADA - 011414,4535,4016,0,409,0,35,0,75,88.56,0.0,9.02,0.0,0.77,0.0,1.65
ADA - 011415,1759,1440,0,291,0,0,0,21,81.86,0.0,16.54,0.0,0.0,0.0,1.19
ADA - 011416,2855,2683,13,111,9,44,0,5,93.98,0.46,3.89,0.32,1.54,0.0,0.18
ADA - 011417,4069,3629,21,193,4,76,0,129,89.19,0.52,4.74,0.1,1.87,0.0,3.17
ADA - 011418,3291,3053,84,67,2,47,0,50,92.77,2.55,2.04,0.06,1.43,0.0,1.52
ADA - 011419,2062,1956,24,82,0,0,0,0,94.86,1.16,3.98,0.0,0.0,0.0,0.0
ADA - 011501,3369,2784,0,105,0,58,0,422,82.64,0.0,3.12,0.0,1.72,0.0,12.53
ADA - 011502,2410,2194,0,114,0,85,0,20,91.04,0.0,4.73,0.0,3.53,0.0,0.83
ADA - 011503,1577,1401,21,73,0,54,0,25,88.84,1.33,4.63,0.0,3.42,0.0,1.59
ADA - 011504,3559,3195,0,194,0,132,0,36,89.77,0.0,5.45,0.0,3.71,0.0,1.01
