county_name,county_norm,population_2020,population_2021,population_2022,population_2023,population_2024,population_2025,change_2020_2025,change_2020_2025_pct,change_2024_2025,change_2024_2025_pct
Idaho,IDAHO,1849328,1904855,1942951,1970497,2000872,2029733,180405,9.7552,28861,1.4424
Ada County,ADA,498263,513092,520365,526352,535225,546141,47878,9.6090,10916,2.0395
Adams County,ADAMS,4423,4619,4778,4895,5010,5013,590,13.3394,3,0.0599
Bannock County,BANNOCK,87294,88605,89855,90538,90969,91591,4297,4.9224,622,0.6837
Bear Lake County,BEAR LAKE,6365,6567,6742,6755,6703,6727,362,5.6874,24,0.3580
Benewah County,BENEWAH,9580,9896,10293,10391,10486,10508,928,9.6868,22,0.2098
Bingham County,BINGHAM,48097,48932,49979,50386,50966,51153,3056,6.3538,187,0.3669
Blaine County,BLAINE,24341,24784,25200,25392,25701,25517,1176,4.8314,-184,-0.7159
Boise County,BOISE,7662,8146,8419,8536,8506,8545,883,11.5244,39,0.4585
Bonner County,BONNER,47411,49639,51437,52542,53650,54420,7009,14.7835,770,1.4352
Bonneville County,BONNEVILLE,124730,128072,129654,131513,133793,135771,11041,8.8519,1978,1.4784
Boundary County,BOUNDARY,12141,12621,13324,13596,13856,13997,1856,15.2870,141,1.0176
Butte County,BUTTE,2581,2664,2690,2745,2726,2783,202,7.8264,57,2.0910
Camas County,CAMAS,1081,1135,1163,1266,1287,1316,235,21.7391,29,2.2533
Canyon County,CANYON,233001,243711,251397,258839,267444,275123,42122,18.0780,7679,2.8713
Caribou County,CARIBOU,7013,7113,7201,7212,7222,7252,239,3.4080,30,0.4154
Cassia County,CASSIA,24753,25235,25657,25948,26210,26397,1644,6.6416,187,0.7135
Clark County,CLARK,791,794,811,798,782,783,-8,-1.0114,1,0.1279
Clearwater County,CLEARWATER,8758,8934,9032,9189,9149,9118,360,4.1105,-31,-0.3388
Custer County,CUSTER,4269,4445,4503,4531,4582,4636,367,8.5969,54,1.1785
Elmore County,ELMORE,28670,28985,29425,29615,29575,29465,795,2.7729,-110,-0.3719
Franklin County,FRANKLIN,14284,14675,15179,15533,15662,15889,1605,11.2363,227,1.4494
Fremont County,FREMONT,13420,13585,14036,14233,14346,14208,788,5.8718,-138,-0.9619
Gem County,GEM,19275,19802,20627,21180,21450,21773,2498,12.9598,323,1.5058
Gooding County,GOODING,15647,15800,15900,16175,16399,16446,799,5.1064,47,0.2866
Idaho County,IDAHO,16592,17060,17654,17881,17873,17874,1282,7.7266,1,0.0056
Jefferson County,JEFFERSON,31080,32207,33358,34296,34856,35297,4217,13.5682,441,1.2652
Jerome County,JEROME,24269,24741,25268,25798,26288,26362,2093,8.6242,74,0.2815
Kootenai County,KOOTENAI,172797,180104,183512,185218,188398,191864,19067,11.0343,3466,1.8397
Latah County,LATAH,39633,40403,41211,41476,41738,41842,2209,5.5736,104,0.2492
Lemhi County,LEMHI,7955,8160,8285,8458,8408,8474,519,6.5242,66,0.7850
Lewis County,LEWIS,3534,3704,3741,3743,3713,3704,170,4.8104,-9,-0.2424
Lincoln County,LINCOLN,5137,5291,5380,5502,5631,5603,466,9.0714,-28,-0.4972
Madison County,MADISON,52950,54126,55251,54819,54948,55172,2222,4.1964,224,0.4077
Minidoka County,MINIDOKA,21669,21951,22214,22621,22727,22911,1242,5.7317,184,0.8096
Nez Perce County,NEZ PERCE,42148,42515,42998,42954,42894,42905,757,1.7961,11,0.0256
Oneida County,ONEIDA,4564,4604,4740,4968,5016,5085,521,11.4154,69,1.3756
Owyhee County,OWYHEE,11993,12360,12642,12765,12764,12661,668,5.5699,-103,-0.8070
Payette County,PAYETTE,25577,26380,26925,27271,27679,27824,2247,8.7852,145,0.5239
Power County,POWER,7880,7982,8130,8292,8333,8246,366,4.6447,-87,-1.0440
Shoshone County,SHOSHONE,13198,13604,13924,14029,14026,14130,932,7.0617,104,0.7415
Teton County,TETON,11740,12276,12551,12699,13105,13254,1514,12.8961,149,1.1370
Twin Falls County,TWIN FALLS,90365,92382,93890,95392,96467,97539,7174,7.9389,1072,1.1113
Valley County,VALLEY,11841,12252,12432,12658,12817,12831,990,8.3608,14,0.1092
Washington County,WASHINGTON,10556,10902,11178,11497,11492,11583,1027,9.7291,91,0.7919
